时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°),Q0,Q1,Q2,Q3
2025-04-17 06:16:45+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.0381,0.0073,1.0229,0.0,-0.18,0.06,-0.07,0.94,30.52,0.964722,-0.002716,0.007721,0.26297
2025-04-17 06:16:45.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.0381,0.0073,1.0229,0.0,-0.18,0.06,-0.07,0.94,30.52,0.964722,-0.002716,0.007721,0.26297
2025-04-17 06:16:46+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.0381,0.0073,1.0229,0.0,-0.18,0.06,-0.07,0.94,30.52,0.964722,-0.002716,0.007721,0.26297
2025-04-17 06:16:46.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.0405,0.002,1.0239,0.0,-0.12,0.12,-0.08,0.92,30.2,0.965454,-0.002747,0.007599,0.260193
2025-04-17 06:16:47+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,0.0483,-0.0098,1.1494,-211.91,-174.19,230.83,-17.87,8.45,57.91,0.80307,-0.242126,-0.027832,0.54364
2025-04-17 06:16:47.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.022,-0.04,1.3462,-12.15,5.55,-20.02,-0.62,-0.92,67.28,0.834045,-0.017639,-0.008331,0.55127
2025-04-17 06:16:48+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.9014,-0.3389,0.3018,-4.52,-135.01,-18.43,-47.96,63.01,47.59,0.626343,-0.508514,0.278778,0.520844
2025-04-17 06:16:48.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.9282,-0.2319,-0.2725,-99.06,148.25,-106.99,-122.35,67.53,-16.0,0.378326,-0.771057,0.38385,0.338959
2025-04-17 06:16:49+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,0.4219,-0.6143,-0.7788,-19.47,118.65,129.46,-145.99,-27.32,-130.61,-0.049011,-0.325317,0.875702,-0.353302
2025-04-17 06:16:49.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.1021,-1.0308,0.0068,-93.63,-157.84,-16.72,-93.3,-0.2,-124.04,0.340668,-0.423798,0.633636,-0.550201
2025-04-17 06:16:50+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.1021,-1.0308,0.0068,-93.63,-157.84,-16.72,-93.3,-0.2,-124.04,0.340668,-0.423798,0.633636,-0.550201
2025-04-17 06:16:50.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,0.9814,-0.7153,-0.1606,-22.4,124.63,32.41,-103.67,-6.01,-69.48,0.4505,-0.637665,0.469055,-0.412659
2025-04-17 06:16:51+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,2.1646,-0.8823,-0.7637,91.19,-112.12,-40.53,-47.08,21.19,-19.16,0.889099,-0.340942,0.277954,-0.126007
2025-04-17 06:16:51.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-3.1182,0.4819,0.5088,-67.5,-192.99,35.64,-61.78,61.12,-75.15,0.832489,-0.191223,0.499847,-0.142944
2025-04-17 06:16:52+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-3.1182,0.4819,0.5088,-67.5,-192.99,35.64,-61.78,61.12,-75.15,0.832489,-0.191223,0.499847,-0.142944
2025-04-17 06:16:52.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.104,-0.8115,-0.584,106.38,500.43,-96.01,-36.52,13.7,11.49,0.919464,-0.296692,0.255402,0.034546
2025-04-17 06:16:53+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-3.4009,1.2329,1.0273,356.75,107.91,126.77,-27.69,49.29,-20.9,0.915009,-0.081238,0.386627,-0.081238
2025-04-17 06:16:53.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-3.4009,1.2329,1.0273,356.75,107.91,126.77,-27.69,49.29,-20.9,0.915009,-0.081238,0.386627,-0.081238
2025-04-17 06:16:54+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-1.0059,1.4204,0.3848,-226.75,-309.39,127.62,36.04,40.79,-9.9,0.954346,0.189789,0.180878,-0.142792
2025-04-17 06:16:54.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-1.0059,1.4204,0.3848,-226.75,-309.39,127.62,36.04,40.79,-9.9,0.954346,0.189789,0.180878,-0.142792
2025-04-17 06:16:55+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.4546,1.5474,0.3101,-274.72,-244.57,60.42,29.06,28.42,-16.33,0.974213,0.134918,0.121338,-0.133606
2025-04-17 06:16:55.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,0.374,0.0796,-0.0713,-242.25,-30.64,233.4,0.66,9.17,-3.44,0.991882,-0.059875,0.088776,0.067871
2025-04-17 06:16:56+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,0.374,0.0796,-0.0713,-242.25,-30.64,233.4,0.66,9.17,-3.44,0.991882,-0.059875,0.088776,0.067871
2025-04-17 06:16:56.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.7983,-1.2388,-0.083,417.97,410.4,295.59,-2.29,33.26,-0.92,0.811401,0.297333,0.502747,-0.019318
2025-04-17 06:16:57+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.7983,-1.2388,-0.083,417.97,410.4,295.59,-2.29,33.26,-0.92,0.811401,0.297333,0.502747,-0.019318
2025-04-17 06:16:57.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.8398,1.3037,0.4375,-225.22,-350.1,-66.71,16.16,47.96,-45.74,0.902985,0.047394,0.217896,-0.367157
2025-04-17 06:16:58+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.8398,1.3037,0.4375,-225.22,-350.1,-66.71,16.16,47.96,-45.74,0.902985,0.047394,0.217896,-0.367157
2025-04-17 06:16:58.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.6787,0.5698,0.063,-463.13,-308.29,32.65,-7.69,29.78,-30.72,0.939392,-0.282928,0.182831,-0.062775
2025-04-17 06:16:59+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.6787,0.5698,0.063,-463.13,-308.29,32.65,-7.69,29.78,-30.72,0.939392,-0.282928,0.182831,-0.062775
2025-04-17 06:16:59.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.6787,0.5698,0.063,-463.13,-308.29,32.65,-7.69,29.78,-30.72,0.939392,-0.282928,0.182831,-0.062775
2025-04-17 06:17:00+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.8623,2.8081,0.9497,-46.2,-206.91,356.57,20.24,39.4,-32.84,0.982544,0.102234,0.138611,-0.069794
2025-04-17 06:17:00.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.8623,2.8081,0.9497,-46.2,-206.91,356.57,20.24,39.4,-32.84,0.982544,0.102234,0.138611,-0.069794
2025-04-17 06:17:01+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.7222,-2.0562,-0.9194,-123.96,38.21,12.51,-42.29,21.25,27.21,0.874146,-0.38855,0.090576,0.276733
2025-04-17 06:17:01.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.5205,-0.8291,-0.1377,349.49,321.17,-145.87,-28.53,31.16,5.45,0.917877,0.097839,0.368195,-0.110657
2025-04-17 06:17:02+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.5205,-0.8291,-0.1377,349.49,321.17,-145.87,-28.53,31.16,5.45,0.917877,0.097839,0.368195,-0.110657
2025-04-17 06:17:02.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.6123,-0.7441,-0.1499,331.3,359.38,-126.89,-27.32,39.45,-3.7,0.889679,-0.107025,0.440338,-0.055023
2025-04-17 06:17:03+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.6123,-0.7441,-0.1499,331.3,359.38,-126.89,-27.32,39.45,-3.7,0.889679,-0.107025,0.440338,-0.055023
2025-04-17 06:17:03.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.6123,-0.7441,-0.1499,331.3,359.38,-126.89,-27.32,39.45,-3.7,0.889679,-0.107025,0.440338,-0.055023
2025-04-17 06:17:04+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.2993,0.2021,0.3574,-335.27,-123.6,60.73,0.23,27.56,-19.51,0.967438,-0.129333,0.216309,-0.021484
2025-04-17 06:17:04.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.2993,0.2021,0.3574,-335.27,-123.6,60.73,0.23,27.56,-19.51,0.967438,-0.129333,0.216309,-0.021484
2025-04-17 06:17:05+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,1.0215,-0.2627,-0.2832,-6.65,314.33,-81.85,-25.48,-41.49,6.13,0.956909,-0.164459,-0.221344,-0.090576
2025-04-17 06:17:05.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,1.0215,-0.2627,-0.2832,-6.65,314.33,-81.85,-25.48,-41.49,6.13,0.956909,-0.164459,-0.221344,-0.090576
2025-04-17 06:17:06+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,1.0215,-0.2627,-0.2832,-6.65,314.33,-81.85,-25.48,-41.49,6.13,0.956909,-0.164459,-0.221344,-0.090576
2025-04-17 06:17:06.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.376,0.0771,0.7715,7.26,126.83,-23.38,-5.81,32.93,-16.98,0.931305,-0.026154,0.340851,-0.125305
2025-04-17 06:17:07+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.376,0.0771,0.7715,7.26,126.83,-23.38,-5.81,32.93,-16.98,0.931305,-0.026154,0.340851,-0.125305
2025-04-17 06:17:07.500000+00:00,+UG3YJkPz/E5nyyWuZdCzQ==,WT901BLE67,-0.7407,-0.2305,0.7705,-18.19,-5.31,-13.12,-13.28,40.13,-21.59,0.922852,-0.049194,0.353394,-0.144775
