时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
2025-05-20 02:07:19+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2983,0.7563,0.6123,3.54,-0.79,4.03,51.67,16.69,16.97
2025-05-20 02:07:19.050000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2983,0.7563,0.6123,3.54,-0.79,4.03,51.67,16.69,16.97
2025-05-20 02:07:19.100000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2983,0.7563,0.6123,3.54,-0.79,4.03,51.67,16.69,16.97
2025-05-20 02:07:19.150000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2764,0.7896,0.5874,-4.15,6.41,6.9,51.76,16.58,17.22
2025-05-20 02:07:19.200000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2671,0.7598,0.6064,-1.95,-3.11,0.85,51.47,16.29,17.41
2025-05-20 02:07:19.250000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2671,0.7598,0.6064,-1.95,-3.11,0.85,51.47,16.29,17.41
2025-05-20 02:07:19.300000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2974,0.7388,0.6045,-0.49,-4.76,1.46,51.37,16.14,17.27
2025-05-20 02:07:19.350000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.272,0.752,0.6104,-1.22,-1.83,2.81,51.32,15.95,17.22
2025-05-20 02:07:19.400000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2515,0.7632,0.6079,-3.97,3.11,7.2,51.27,15.78,17.28
2025-05-20 02:07:19.450000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2744,0.7432,0.6079,-2.2,-0.85,4.09,51.19,15.6,17.6
2025-05-20 02:07:19.500000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.272,0.7559,0.6177,-3.42,0.0,6.23,51.1,15.4,17.71
2025-05-20 02:07:19.550000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.272,0.7559,0.6177,-3.42,0.0,6.23,51.1,15.4,17.71
2025-05-20 02:07:19.600000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2573,0.7651,0.6167,4.21,-2.56,5.86,51.34,14.49,17.91
2025-05-20 02:07:19.650000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2573,0.7651,0.6167,4.21,-2.56,5.86,51.34,14.49,17.91
2025-05-20 02:07:19.700000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2144,0.7539,0.6055,1.71,0.0,4.21,51.54,14.24,17.96
2025-05-20 02:07:19.750000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2144,0.7539,0.6055,1.71,0.0,4.21,51.54,14.24,17.96
2025-05-20 02:07:19.800000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2383,0.7495,0.605,0.73,-0.06,4.64,51.65,14.07,18.01
2025-05-20 02:07:19.850000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2476,0.75,0.6025,1.46,-3.11,0.12,51.71,13.79,18.31
2025-05-20 02:07:19.900000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2476,0.75,0.6025,1.46,-3.11,0.12,51.71,13.79,18.31
2025-05-20 02:07:19.950000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2476,0.75,0.6025,1.46,-3.11,0.12,51.71,13.79,18.31
2025-05-20 02:07:20+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2476,0.75,0.6025,1.46,-3.11,0.12,51.71,13.79,18.31
2025-05-20 02:07:20.050000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2021,0.7803,0.6045,-1.53,0.55,3.3,51.74,13.7,18.28
2025-05-20 02:07:20.100000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2021,0.7803,0.6045,-1.53,0.55,3.3,51.74,13.7,18.28
2025-05-20 02:07:20.150000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2021,0.7803,0.6045,-1.53,0.55,3.3,51.74,13.7,18.28
2025-05-20 02:07:20.200000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2021,0.7803,0.6045,-1.53,0.55,3.3,51.74,13.7,18.28
2025-05-20 02:07:20.250000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2104,0.7646,0.5986,2.81,-4.7,3.72,51.8,13.23,18.95
2025-05-20 02:07:20.300000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2451,0.7881,0.5586,25.51,-22.22,4.7,53.49,11.31,18.84
2025-05-20 02:07:20.350000+00:00,7/vCykmiwCHaFbwdzATxCQ==,WTL3,-0.2451,0.7881,0.5586,25.51,-22.22,4.7,53.49,11.31,18.84
