时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
2025-05-15 03:24:19+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2681,0.3125,0.939,1.34,3.85,-1.65,18.15,15.66,-130.07
2025-05-15 03:24:19.020000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2822,0.3184,0.9307,1.1,2.62,-0.49,18.2,15.8,-130.07
2025-05-15 03:24:19.040000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2837,0.3174,0.9292,0.92,2.2,-0.24,18.21,15.81,-130.07
2025-05-15 03:24:19.060000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2861,0.3145,0.9277,0.24,1.22,0.24,18.22,15.84,-130.06
2025-05-15 03:24:19.080000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2861,0.3145,0.9277,0.24,1.22,0.24,18.22,15.84,-130.06
2025-05-15 03:24:19.100000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2861,0.3145,0.9277,0.24,1.22,0.24,18.22,15.84,-130.06
2025-05-15 03:24:19.120000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.314,0.9331,0.0,0.12,0.43,18.23,15.86,-130.05
2025-05-15 03:24:19.140000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.314,0.9331,0.0,0.12,0.43,18.23,15.86,-130.05
2025-05-15 03:24:19.160000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2935,0.3062,0.9326,-0.55,-1.46,0.79,18.22,15.86,-130.0
2025-05-15 03:24:19.180000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2856,0.3027,0.938,0.0,-1.59,0.06,18.21,15.81,-130.01
2025-05-15 03:24:19.200000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.220000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.240000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.260000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.280000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.300000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.320000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.340000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.360000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.380000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.400000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.420000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.440000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.460000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.480000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2842,0.3032,0.938,0.06,-1.46,-0.06,18.21,15.8,-130.01
2025-05-15 03:24:19.500000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2622,0.2939,0.9424,1.34,0.12,-0.67,18.23,15.75,-130.03
2025-05-15 03:24:19.520000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2622,0.2939,0.9424,1.34,0.12,-0.67,18.23,15.75,-130.03
2025-05-15 03:24:19.540000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2622,0.2939,0.9424,1.34,0.12,-0.67,18.23,15.75,-130.03
2025-05-15 03:24:19.560000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2622,0.2939,0.9424,1.34,0.12,-0.67,18.23,15.75,-130.03
2025-05-15 03:24:19.580000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2622,0.2939,0.9424,1.34,0.12,-0.67,18.23,15.75,-130.03
2025-05-15 03:24:19.600000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2622,0.2939,0.9424,1.34,0.12,-0.67,18.23,15.75,-130.03
2025-05-15 03:24:19.620000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2622,0.2939,0.9424,1.34,0.12,-0.67,18.23,15.75,-130.03
2025-05-15 03:24:19.640000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2622,0.2939,0.9424,1.34,0.12,-0.67,18.23,15.75,-130.03
2025-05-15 03:24:19.660000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2622,0.2939,0.9424,1.34,0.12,-0.67,18.23,15.75,-130.03
2025-05-15 03:24:19.680000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2622,0.2939,0.9424,1.34,0.12,-0.67,18.23,15.75,-130.03
2025-05-15 03:24:19.700000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2622,0.2939,0.9424,1.34,0.12,-0.67,18.23,15.75,-130.03
2025-05-15 03:24:19.720000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2622,0.2939,0.9424,1.34,0.12,-0.67,18.23,15.75,-130.03
2025-05-15 03:24:19.740000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2622,0.2939,0.9424,1.34,0.12,-0.67,18.23,15.75,-130.03
2025-05-15 03:24:19.760000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2817,0.3047,0.9414,2.44,2.69,-2.69,18.29,15.85,-130.07
2025-05-15 03:24:19.780000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2817,0.3047,0.9414,2.44,2.69,-2.69,18.29,15.85,-130.07
2025-05-15 03:24:19.800000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2817,0.3047,0.9414,2.44,2.69,-2.69,18.29,15.85,-130.07
2025-05-15 03:24:19.820000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2817,0.3047,0.9414,2.44,2.69,-2.69,18.29,15.85,-130.07
2025-05-15 03:24:19.840000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2817,0.3047,0.9414,2.44,2.69,-2.69,18.29,15.85,-130.07
2025-05-15 03:24:19.860000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2866,0.3018,0.9385,3.66,7.39,-3.54,18.4,16.15,-130.14
2025-05-15 03:24:19.880000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2866,0.3018,0.9385,3.66,7.39,-3.54,18.4,16.15,-130.14
2025-05-15 03:24:19.900000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2866,0.3018,0.9385,3.66,7.39,-3.54,18.4,16.15,-130.14
2025-05-15 03:24:19.920000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2866,0.3018,0.9385,3.66,7.39,-3.54,18.4,16.15,-130.14
2025-05-15 03:24:19.940000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.2866,0.3018,0.9385,3.66,7.39,-3.54,18.4,16.15,-130.14
2025-05-15 03:24:19.960000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:19.980000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.020000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.040000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.060000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.080000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.100000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.120000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.140000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.160000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.180000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.200000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.220000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.240000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.260000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.280000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.300000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.320000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.340000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.360000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.380000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.400000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.420000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.440000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3242,0.3037,0.939,3.3,6.96,-5.92,18.56,16.79,-130.25
2025-05-15 03:24:20.460000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.480000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.500000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.520000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.540000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.560000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.580000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.600000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.620000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.640000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.660000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.680000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.700000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.720000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.740000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.760000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.780000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.800000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.820000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.840000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.860000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.880000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.900000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.920000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.940000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3193,0.2983,0.9424,3.23,6.1,-6.59,18.58,16.88,-130.29
2025-05-15 03:24:20.960000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3101,0.2954,0.9272,3.91,5.98,-8.06,18.64,17.11,-130.41
2025-05-15 03:24:20.980000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3101,0.2954,0.9272,3.91,5.98,-8.06,18.64,17.11,-130.41
2025-05-15 03:24:21+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3101,0.2954,0.9272,3.91,5.98,-8.06,18.64,17.11,-130.41
2025-05-15 03:24:21.020000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3101,0.2954,0.9272,3.91,5.98,-8.06,18.64,17.11,-130.41
2025-05-15 03:24:21.040000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3101,0.2954,0.9272,3.91,5.98,-8.06,18.64,17.11,-130.41
2025-05-15 03:24:21.060000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3159,0.2915,0.9219,3.36,9.83,-8.97,18.67,17.27,-130.51
2025-05-15 03:24:21.080000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3159,0.2915,0.9219,3.36,9.83,-8.97,18.67,17.27,-130.51
2025-05-15 03:24:21.100000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3159,0.2915,0.9219,3.36,9.83,-8.97,18.67,17.27,-130.51
2025-05-15 03:24:21.120000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3159,0.2915,0.9219,3.36,9.83,-8.97,18.67,17.27,-130.51
2025-05-15 03:24:21.140000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3159,0.2915,0.9219,3.36,9.83,-8.97,18.67,17.27,-130.51
2025-05-15 03:24:21.160000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3159,0.2915,0.9219,3.36,9.83,-8.97,18.67,17.27,-130.51
2025-05-15 03:24:21.180000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.200000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.220000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.240000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.260000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.280000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.300000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.320000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.340000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.360000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.380000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.400000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.420000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.440000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.460000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.480000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.500000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.520000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.540000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.560000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.580000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.600000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.620000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.640000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.660000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.680000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.700000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.720000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.740000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.760000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.780000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3174,0.2954,0.918,3.17,10.86,-10.31,18.68,17.46,-130.6
2025-05-15 03:24:21.800000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3955,0.2813,0.9214,5.37,0.79,-7.14,18.83,18.11,-131.12
2025-05-15 03:24:21.820000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3955,0.2813,0.9214,5.37,0.79,-7.14,18.83,18.11,-131.12
2025-05-15 03:24:21.840000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3955,0.2813,0.9214,5.37,0.79,-7.14,18.83,18.11,-131.12
2025-05-15 03:24:21.860000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3955,0.2813,0.9214,5.37,0.79,-7.14,18.83,18.11,-131.12
2025-05-15 03:24:21.880000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3955,0.2813,0.9214,5.37,0.79,-7.14,18.83,18.11,-131.12
2025-05-15 03:24:21.900000+00:00,4B0IOzvNMoPBlZqA7UNfGw==,WT1,-0.3955,0.2813,0.9214,5.37,0.79,-7.14,18.83,18.11,-131.12
