时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
2025-05-15 03:33:04+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.020000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.040000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.060000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.080000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.100000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.120000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.140000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.160000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.180000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.200000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.220000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.240000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.260000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.280000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.300000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.320000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.340000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.360000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.380000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.400000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.420000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.440000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.460000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.480000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.500000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.520000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.540000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.560000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.580000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.3
2025-05-15 03:33:04.600000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0293,0.9736,-0.1831,2.81,7.14,0.79,100.81,-3.03,34.46
2025-05-15 03:33:04.620000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0244,0.9722,-0.1777,0.85,-3.11,1.1,100.86,-3.06,34.54
2025-05-15 03:33:04.640000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0244,0.9722,-0.1777,0.85,-3.11,1.1,100.86,-3.06,34.54
2025-05-15 03:33:04.660000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0391,0.9795,-0.1855,-1.95,-13.61,1.28,100.83,-3.03,34.19
2025-05-15 03:33:04.680000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0391,0.9795,-0.1855,-1.95,-13.61,1.28,100.83,-3.03,34.19
2025-05-15 03:33:04.700000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0391,0.9795,-0.1855,-1.95,-13.61,1.28,100.83,-3.03,34.19
2025-05-15 03:33:04.720000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0391,0.9795,-0.1855,-1.95,-13.61,1.28,100.83,-3.03,34.19
2025-05-15 03:33:04.740000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0391,0.9795,-0.1855,-1.95,-13.61,1.28,100.83,-3.03,34.19
2025-05-15 03:33:04.760000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0391,0.9795,-0.1855,-1.95,-13.61,1.28,100.83,-3.03,34.19
2025-05-15 03:33:04.780000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0571,0.9731,-0.1865,2.26,2.14,0.85,100.86,-3.03,34.03
2025-05-15 03:33:04.800000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0571,0.9731,-0.1865,2.26,2.14,0.85,100.86,-3.03,34.03
2025-05-15 03:33:04.820000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0571,0.9731,-0.1865,2.26,2.14,0.85,100.86,-3.03,34.03
2025-05-15 03:33:04.840000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0571,0.9731,-0.1865,2.26,2.14,0.85,100.86,-3.03,34.03
2025-05-15 03:33:04.860000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0571,0.9731,-0.1865,2.26,2.14,0.85,100.86,-3.03,34.03
2025-05-15 03:33:04.880000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0571,0.9731,-0.1865,2.26,2.14,0.85,100.86,-3.03,34.03
2025-05-15 03:33:04.900000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0439,0.9707,-0.187,2.5,6.1,1.4,100.92,-3.08,34.18
2025-05-15 03:33:04.920000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0439,0.9707,-0.187,2.5,6.1,1.4,100.92,-3.08,34.18
2025-05-15 03:33:04.940000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0439,0.9707,-0.187,2.5,6.1,1.4,100.92,-3.08,34.18
2025-05-15 03:33:04.960000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0439,0.9707,-0.187,2.5,6.1,1.4,100.92,-3.08,34.18
2025-05-15 03:33:04.980000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0439,0.9707,-0.187,2.5,6.1,1.4,100.92,-3.08,34.18
2025-05-15 03:33:05+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0439,0.9707,-0.187,2.5,6.1,1.4,100.92,-3.08,34.18
2025-05-15 03:33:05.020000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0439,0.9707,-0.187,2.5,6.1,1.4,100.92,-3.08,34.18
2025-05-15 03:33:05.040000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0439,0.9707,-0.187,2.5,6.1,1.4,100.92,-3.08,34.18
2025-05-15 03:33:05.060000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0439,0.9707,-0.187,2.5,6.1,1.4,100.92,-3.08,34.18
2025-05-15 03:33:05.080000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0439,0.9707,-0.187,2.5,6.1,1.4,100.92,-3.08,34.18
2025-05-15 03:33:05.100000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0439,0.9707,-0.187,2.5,6.1,1.4,100.92,-3.08,34.18
2025-05-15 03:33:05.120000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0439,0.9707,-0.187,2.5,6.1,1.4,100.92,-3.08,34.18
2025-05-15 03:33:05.140000+00:00,1hXgHOfAPwEa1MCXzcNICA==,WT1,0.0439,0.9707,-0.187,2.5,6.1,1.4,100.92,-3.08,34.18
