时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-20T02:05:55.945Z",Op/IMpNKGHVEnqWI/tvt4w==,"WTL2",-0.4028,0.0596,0.8359,-9.89,-7.08,3.30,8.14,18.81,37.17
"2025-05-20T02:05:55.953Z",7/vCykmiwCHaFbwdzATxCQ==,"WTL3",-0.1987,0.8794,0.5874,-20.69,9.58,1.10,56.33,14.46,-100.84
"2025-05-20T02:05:55.954Z",Op/IMpNKGHVEnqWI/tvt4w==,"WTL2",-0.5146,0.4731,0.9209,-1.65,-5.74,25.51,8.17,18.61,37.14
"2025-05-20T02:05:55.965Z",FfcCr9PjdREZCoe+dlMvww==,"WTR2",0.4360,-0.0308,0.9063,0.06,-10.19,12.57,-0.57,-30.68,2.98
"2025-05-20T02:05:55.966Z",lZ2FY1nS6SOn7HxBXpIi2w==,"WTR1",0.0825,1.0181,0.2124,-2.75,16.91,1.46,80.83,-5.22,104.17
"2025-05-20T02:05:55.968Z",7/vCykmiwCHaFbwdzATxCQ==,"WTL3",-0.3501,0.8022,0.5464,-30.94,5.00,0.00,55.06,14.65,-100.43
"2025-05-20T02:05:55.970Z",DVdIqNwXUfWJfu7o3Mvydg==,"WTR3",-0.1123,0.8872,-0.4087,5.98,5.68,-14.28,113.47,8.87,61.97
"2025-05-20T02:05:55.988Z",lZ2FY1nS6SOn7HxBXpIi2w==,"WTR1",0.1655,0.9683,0.2314,-1.40,16.54,3.30,80.67,-5.23,104.95
"2025-05-20T02:05:55.990Z",dax0XbwCfrTXIMu3eQzp8g==,"WTL1",-0.2881,0.9570,0.1650,8.18,17.82,26.61,77.44,3.43,134.97
"2025-05-20T02:05:56.015Z",FfcCr9PjdREZCoe+dlMvww==,"WTR2",0.5044,0.0498,0.8843,0.92,-11.60,16.42,-0.99,-31.25,3.97
"2025-05-20T02:05:56.017Z",lZ2FY1nS6SOn7HxBXpIi2w==,"WTR1",0.0483,0.9985,0.1899,-5.68,27.16,5.80,80.44,-5.33,106.22
"2025-05-20T02:05:56.018Z",7/vCykmiwCHaFbwdzATxCQ==,"WTL3",-0.2290,0.7593,0.6060,-17.46,19.04,9.03,53.95,14.82,-99.63
"2025-05-20T02:05:56.019Z",DVdIqNwXUfWJfu7o3Mvydg==,"WTR3",-0.1567,0.9111,-0.3638,7.08,6.53,-19.96,113.88,9.56,62.69
"2025-05-20T02:05:56.034Z",lZ2FY1nS6SOn7HxBXpIi2w==,"WTR1",0.0586,0.9399,0.0371,-0.79,-1.77,-0.31,80.17,-5.36,107.00
"2025-05-20T02:05:56.036Z",dax0XbwCfrTXIMu3eQzp8g==,"WTL1",-0.0513,0.9458,0.3208,11.29,21.67,18.31,78.06,2.64,136.13
"2025-05-20T02:05:56.037Z",Op/IMpNKGHVEnqWI/tvt4w==,"WTL2",-0.3569,0.0562,0.9888,2.50,-7.08,4.94,8.38,18.14,37.94
"2025-05-20T02:05:56.058Z",dax0XbwCfrTXIMu3eQzp8g==,"WTL1",-0.0840,0.9727,0.2803,10.80,10.56,16.54,78.61,1.89,137.08
"2025-05-20T02:05:56.059Z",Op/IMpNKGHVEnqWI/tvt4w==,"WTL2",-0.2051,0.1426,0.9883,1.53,-0.49,10.68,8.56,17.85,38.38
"2025-05-20T02:05:56.060Z",DVdIqNwXUfWJfu7o3Mvydg==,"WTR3",-0.2173,0.8755,-0.4082,5.80,-0.61,-11.84,114.31,10.27,63.25
"2025-05-20T02:05:56.078Z",FfcCr9PjdREZCoe+dlMvww==,"WTR2",0.6362,-0.0122,0.7852,-5.37,-10.25,-2.99,-1.35,-31.77,4.48
"2025-05-20T02:05:56.100Z",FfcCr9PjdREZCoe+dlMvww==,"WTR2",0.5947,-0.0840,0.8369,-4.15,-6.10,-5.98,-1.40,-32.17,3.86
"2025-05-20T02:05:56.102Z",dax0XbwCfrTXIMu3eQzp8g==,"WTL1",-0.0908,0.9937,0.2163,15.50,6.90,6.90,79.32,1.42,137.72
"2025-05-20T02:05:56.103Z",7/vCykmiwCHaFbwdzATxCQ==,"WTL3",-0.2793,0.7422,0.5918,-4.39,5.00,-0.43,53.61,15.03,-99.07
"2025-05-20T02:05:56.105Z",DVdIqNwXUfWJfu7o3Mvydg==,"WTR3",-0.1841,0.8926,-0.4268,3.85,-3.97,-5.13,114.55,10.72,63.08
"2025-05-20T02:05:56.125Z",lZ2FY1nS6SOn7HxBXpIi2w==,"WTR1",0.1792,1.0010,0.0898,1.28,-2.62,-1.04,80.27,-5.28,106.50
"2025-05-20T02:05:56.182Z",7/vCykmiwCHaFbwdzATxCQ==,"WTL3",-0.2578,0.7876,0.5967,2.32,-0.12,-2.01,53.61,15.16,-98.95
"2025-05-20T02:05:56.189Z",Op/IMpNKGHVEnqWI/tvt4w==,"WTL2",-0.2607,0.0835,0.9795,0.24,1.46,-0.73,8.68,17.85,38.67
"2025-05-20T02:05:56.190Z",FfcCr9PjdREZCoe+dlMvww==,"WTR2",0.6284,0.0342,0.8301,-1.71,-4.03,3.48,-1.55,-32.43,4.10
"2025-05-20T02:05:56.191Z",lZ2FY1nS6SOn7HxBXpIi2w==,"WTR1",0.0322,1.0054,0.0776,2.08,6.53,1.77,80.30,-5.30,106.83
"2025-05-20T02:05:56.192Z",7/vCykmiwCHaFbwdzATxCQ==,"WTL3",-0.2388,0.8140,0.5649,-3.66,2.69,1.71,53.61,15.23,-98.96
"2025-05-20T02:05:56.195Z",Op/IMpNKGHVEnqWI/tvt4w==,"WTL2",-0.3130,0.1162,0.9995,2.87,3.72,-7.32,8.73,18.03,38.56
"2025-05-20T02:05:56.196Z",DVdIqNwXUfWJfu7o3Mvydg==,"WTR3",-0.2251,0.9038,-0.3867,3.78,-0.79,-1.89,114.72,10.92,63.20
"2025-05-20T02:05:56.197Z",dax0XbwCfrTXIMu3eQzp8g==,"WTL1",0.0361,0.9844,0.1411,15.81,-0.49,4.27,79.91,1.31,137.63
"2025-05-20T02:05:56.264Z",FfcCr9PjdREZCoe+dlMvww==,"WTR2",0.5869,0.0073,0.8389,-8.54,-1.83,-16.05,-1.60,-32.58,3.64
"2025-05-20T02:05:56.268Z",lZ2FY1nS6SOn7HxBXpIi2w==,"WTR1",0.0835,0.9810,0.1001,3.78,-20.75,-5.37,80.56,-5.32,106.41
