时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-15T03:24:19.015Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2681,0.3125,0.9390,1.34,3.85,-1.65,18.15,15.66,-130.07
"2025-05-15T03:24:19.015Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2690,0.3145,0.9395,1.46,4.27,-1.65,18.16,15.68,-130.07
"2025-05-15T03:24:19.015Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2700,0.3159,0.9395,1.53,4.52,-1.53,18.17,15.70,-130.07
"2025-05-15T03:24:19.015Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2720,0.3169,0.9385,1.59,4.39,-1.40,18.18,15.73,-130.07
"2025-05-15T03:24:19.015Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2749,0.3179,0.9365,1.53,4.03,-1.22,18.18,15.75,-130.07
"2025-05-15T03:24:19.015Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2773,0.3184,0.9341,1.40,3.54,-0.98,18.19,15.77,-130.07
"2025-05-15T03:24:19.015Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2798,0.3188,0.9321,1.28,3.11,-0.73,18.20,15.79,-130.07
"2025-05-15T03:24:19.016Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2822,0.3184,0.9307,1.10,2.62,-0.49,18.20,15.80,-130.07
"2025-05-15T03:24:19.026Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.1035,0.9927,-0.0503,0.37,-1.04,0.12,92.26,6.26,-70.31
"2025-05-15T03:24:19.026Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.1025,0.9917,-0.0518,0.55,-1.28,0.06,92.26,6.26,-70.31
"2025-05-15T03:24:19.026Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.1016,0.9912,-0.0522,0.79,-1.53,0.12,92.26,6.26,-70.31
"2025-05-15T03:24:19.026Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.1001,0.9907,-0.0522,1.04,-1.65,0.12,92.26,6.26,-70.31
"2025-05-15T03:24:19.026Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.0991,0.9897,-0.0513,1.16,-1.65,0.12,92.26,6.26,-70.31
"2025-05-15T03:24:19.026Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.0981,0.9893,-0.0498,1.16,-1.53,0.06,92.26,6.26,-70.31
"2025-05-15T03:24:19.026Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.0977,0.9883,-0.0483,1.16,-1.34,0.06,92.26,6.26,-70.31
"2025-05-15T03:24:19.026Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.0977,0.9878,-0.0459,1.10,-1.10,0.06,92.26,6.25,-70.31
"2025-05-15T03:24:19.028Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0059,0.1660,1.0093,-0.85,0.24,-0.55,9.87,0.02,0.75
"2025-05-15T03:24:19.028Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0059,0.1650,1.0098,-0.61,0.49,-0.49,9.87,0.02,0.75
"2025-05-15T03:24:19.028Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0063,0.1641,1.0098,-0.43,0.67,-0.49,9.87,0.02,0.75
"2025-05-15T03:24:19.029Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0068,0.1636,1.0088,-0.49,0.85,-0.55,9.87,0.02,0.75
"2025-05-15T03:24:19.029Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0078,0.1636,1.0083,-0.61,0.85,-0.61,9.81,0.02,0.75
"2025-05-15T03:24:19.029Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0093,0.1631,1.0073,-0.85,0.92,-0.67,9.81,0.02,0.75
"2025-05-15T03:24:19.029Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0107,0.1626,1.0078,-0.92,0.92,-0.73,9.81,0.00,0.76
"2025-05-15T03:24:19.029Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0122,0.1621,1.0078,-0.73,1.10,-0.73,9.81,0.00,0.76
"2025-05-15T03:24:19.035Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4316,0.5166,-0.7227,0.61,0.43,-0.49,145.22,25.54,33.23
"2025-05-15T03:24:19.036Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4321,0.5146,-0.7222,0.85,0.00,-0.31,145.23,25.54,33.23
"2025-05-15T03:24:19.036Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4316,0.5127,-0.7222,1.28,-0.49,-0.12,145.23,25.54,33.23
"2025-05-15T03:24:19.036Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4307,0.5112,-0.7236,1.53,-0.67,0.00,145.24,25.54,33.23
"2025-05-15T03:24:19.036Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4282,0.5098,-0.7256,1.59,-0.55,-0.06,145.24,25.55,33.22
"2025-05-15T03:24:19.036Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4258,0.5088,-0.7280,1.59,-0.31,-0.18,145.25,25.55,33.22
"2025-05-15T03:24:19.036Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4233,0.5083,-0.7305,1.53,0.00,-0.37,145.26,25.55,33.22
"2025-05-15T03:24:19.036Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4209,0.5068,-0.7324,1.65,0.24,-0.55,145.27,25.55,33.22
"2025-05-15T03:24:19.041Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.4004,-0.1807,0.9326,-0.18,0.06,2.20,-10.43,-23.88,6.02
"2025-05-15T03:24:19.041Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.3994,-0.1812,0.9321,-0.24,0.00,1.46,-10.43,-23.88,6.02
"2025-05-15T03:24:19.041Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.3979,-0.1821,0.9312,-0.31,-0.12,0.92,-10.44,-23.88,6.03
"2025-05-15T03:24:19.041Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.3960,-0.1836,0.9302,-0.31,-0.12,0.49,-10.44,-23.88,6.03
"2025-05-15T03:24:19.041Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.3945,-0.1855,0.9292,-0.31,0.00,0.49,-10.44,-23.88,6.04
"2025-05-15T03:24:19.041Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.3931,-0.1875,0.9287,-0.18,0.12,0.79,-10.45,-23.87,6.04
"2025-05-15T03:24:19.042Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.3921,-0.1895,0.9282,-0.06,0.24,1.28,-10.45,-23.87,6.04
"2025-05-15T03:24:19.042Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.3921,-0.1909,0.9287,0.00,0.37,1.89,-10.45,-23.87,6.05
"2025-05-15T03:24:19.043Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1357,0.3447,0.9497,0.00,0.06,0.92,20.60,7.87,-6.01
"2025-05-15T03:24:19.043Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1353,0.3457,0.9492,0.00,0.00,0.85,20.61,7.87,-6.00
"2025-05-15T03:24:19.043Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1343,0.3467,0.9487,0.00,-0.06,0.73,20.61,7.87,-6.00
"2025-05-15T03:24:19.043Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1348,0.3467,0.9497,0.00,-0.06,0.55,20.61,7.87,-6.00
"2025-05-15T03:24:19.043Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1348,0.3457,0.9512,0.00,0.00,0.49,20.61,7.86,-5.99
"2025-05-15T03:24:19.043Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1353,0.3447,0.9531,0.00,0.31,0.55,20.61,7.86,-5.99
"2025-05-15T03:24:19.043Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1353,0.3438,0.9546,0.00,0.61,0.61,20.61,7.87,-5.99
"2025-05-15T03:24:19.043Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1343,0.3447,0.9546,0.00,0.73,0.67,20.61,7.87,-5.98
"2025-05-15T03:24:19.055Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2837,0.3174,0.9292,0.92,2.20,-0.24,18.21,15.81,-130.07
"2025-05-15T03:24:19.055Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2847,0.3164,0.9277,0.67,1.83,0.00,18.22,15.83,-130.07
"2025-05-15T03:24:19.055Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2856,0.3154,0.9277,0.43,1.53,0.12,18.22,15.84,-130.06
"2025-05-15T03:24:19.056Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2861,0.3145,0.9277,0.24,1.22,0.24,18.22,15.84,-130.06
"2025-05-15T03:24:19.056Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2866,0.3140,0.9287,0.12,0.98,0.31,18.23,15.85,-130.06
"2025-05-15T03:24:19.056Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2866,0.3140,0.9297,0.00,0.67,0.43,18.23,15.85,-130.05
"2025-05-15T03:24:19.056Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2861,0.3135,0.9312,0.00,0.43,0.49,18.23,15.85,-130.05
"2025-05-15T03:24:19.056Z",4B0IOzvNMoPBlZqA7UNfGw==,"WT1",-0.2852,0.3140,0.9321,0.00,0.18,0.49,18.23,15.86,-130.05
"2025-05-15T03:24:19.059Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.0981,0.9873,-0.0439,0.92,-0.73,0.00,92.26,6.25,-70.31
"2025-05-15T03:24:19.060Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.0996,0.9873,-0.0415,0.61,-0.37,0.00,92.26,6.25,-70.31
"2025-05-15T03:24:19.060Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.1011,0.9878,-0.0391,0.37,0.00,-0.06,92.26,6.25,-70.31
"2025-05-15T03:24:19.060Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.1025,0.9893,-0.0361,0.06,0.24,-0.06,92.27,6.25,-70.31
"2025-05-15T03:24:19.060Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.1045,0.9907,-0.0332,-0.06,0.49,-0.06,92.27,6.25,-70.31
"2025-05-15T03:24:19.060Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.1060,0.9917,-0.0313,-0.31,0.73,-0.06,92.27,6.25,-70.31
"2025-05-15T03:24:19.060Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.1079,0.9927,-0.0298,-0.49,0.98,-0.06,92.27,6.25,-70.31
"2025-05-15T03:24:19.060Z",OfuPi9wgUgB7/O1HTU7CEQ==,"WT3",-0.1094,0.9927,-0.0293,-0.55,1.04,-0.06,92.27,6.25,-70.31
"2025-05-15T03:24:19.076Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4194,0.5049,-0.7334,2.01,0.12,-0.79,145.28,25.55,33.22
"2025-05-15T03:24:19.076Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4175,0.5034,-0.7344,2.56,-0.24,-1.16,145.29,25.56,33.23
"2025-05-15T03:24:19.076Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4155,0.5034,-0.7358,2.87,-0.37,-1.89,145.31,25.57,33.23
"2025-05-15T03:24:19.077Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4146,0.5063,-0.7378,2.93,0.12,-2.69,145.32,25.58,33.24
"2025-05-15T03:24:19.077Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4146,0.5122,-0.7407,2.93,0.85,-3.54,145.34,25.58,33.26
"2025-05-15T03:24:19.077Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4155,0.5190,-0.7432,3.30,1.04,-3.91,145.37,25.59,33.27
"2025-05-15T03:24:19.077Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4175,0.5269,-0.7441,4.09,0.61,-3.30,145.39,25.59,33.29
"2025-05-15T03:24:19.077Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4194,0.5342,-0.7441,5.00,0.18,-1.95,145.42,25.60,33.30
"2025-05-15T03:24:19.081Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.3931,-0.1914,0.9292,0.18,0.37,2.44,-10.46,-23.86,6.07
"2025-05-15T03:24:19.081Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.3950,-0.1924,0.9302,0.31,0.24,2.81,-10.46,-23.86,6.08
"2025-05-15T03:24:19.081Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.3975,-0.1929,0.9312,0.37,0.00,2.93,-10.47,-23.86,6.10
"2025-05-15T03:24:19.081Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.3999,-0.1934,0.9316,0.43,-0.18,2.87,-10.48,-23.85,6.11
"2025-05-15T03:24:19.081Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.4023,-0.1938,0.9316,0.43,-0.37,2.69,-10.48,-23.85,6.13
"2025-05-15T03:24:19.081Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.4038,-0.1943,0.9312,0.37,-0.43,2.38,-10.49,-23.85,6.14
"2025-05-15T03:24:19.082Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.4043,-0.1948,0.9307,0.31,-0.43,2.08,-10.49,-23.85,6.16
"2025-05-15T03:24:19.082Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.4043,-0.1948,0.9292,0.24,-0.37,1.89,-10.49,-23.85,6.16
"2025-05-15T03:24:19.100Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4199,0.5396,-0.7437,5.74,0.31,-1.04,145.45,25.60,33.31
"2025-05-15T03:24:19.100Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4204,0.5435,-0.7427,6.84,0.24,-0.37,145.49,25.60,33.31
"2025-05-15T03:24:19.100Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4233,0.5454,-0.7407,8.73,-0.92,1.46,145.52,25.60,33.31
"2025-05-15T03:24:19.100Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4297,0.5479,-0.7388,11.05,-2.99,5.43,145.56,25.60,33.28
"2025-05-15T03:24:19.100Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4365,0.5488,-0.7383,13.24,-5.37,10.56,145.60,25.60,33.22
"2025-05-15T03:24:19.100Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4404,0.5474,-0.7393,14.65,-7.02,14.95,145.63,25.59,33.14
"2025-05-15T03:24:19.100Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4399,0.5420,-0.7407,14.47,-6.90,17.33,145.66,25.57,33.04
"2025-05-15T03:24:19.100Z",sEQb2vSGYCKxx3eJ741ybA==,"WT6",-0.4365,0.5322,-0.7417,13.49,-5.25,17.58,145.69,25.55,32.94
"2025-05-15T03:24:19.102Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.4043,-0.1953,0.9287,0.24,-0.24,1.77,-10.49,-23.85,6.17
"2025-05-15T03:24:19.102Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.4038,-0.1953,0.9282,0.31,-0.12,1.89,-10.50,-23.85,6.19
"2025-05-15T03:24:19.102Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.4033,-0.1953,0.9282,0.37,-0.06,2.14,-10.50,-23.85,6.20
"2025-05-15T03:24:19.103Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.4033,-0.1958,0.9282,0.49,0.00,2.44,-10.50,-23.85,6.21
"2025-05-15T03:24:19.103Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.4033,-0.1963,0.9282,0.61,-0.12,2.62,-10.51,-23.84,6.22
"2025-05-15T03:24:19.103Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.4038,-0.1978,0.9287,0.67,-0.31,2.62,-10.51,-23.84,6.24
"2025-05-15T03:24:19.103Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.4043,-0.1987,0.9287,0.79,-0.43,2.32,-10.51,-23.84,6.25
"2025-05-15T03:24:19.103Z",Sl+L3+Fk3E/jGP219z/HpA==,"WT2",0.4058,-0.1997,0.9282,0.67,-0.49,1.53,-10.51,-23.84,6.26
"2025-05-15T03:24:19.106Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1338,0.3462,0.9536,0.00,0.61,0.61,20.62,7.87,-5.98
"2025-05-15T03:24:19.106Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1333,0.3481,0.9517,0.00,0.43,0.43,20.62,7.87,-5.97
"2025-05-15T03:24:19.106Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1338,0.3496,0.9497,0.00,0.31,0.18,20.62,7.87,-5.97
"2025-05-15T03:24:19.106Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1338,0.3506,0.9482,0.06,0.24,0.12,20.62,7.88,-5.97
"2025-05-15T03:24:19.107Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1338,0.3516,0.9478,0.06,0.31,0.12,20.62,7.88,-5.97
"2025-05-15T03:24:19.107Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1338,0.3525,0.9478,0.06,0.37,0.00,20.62,7.88,-5.96
"2025-05-15T03:24:19.107Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1343,0.3525,0.9473,0.00,0.24,-0.06,20.62,7.88,-5.96
"2025-05-15T03:24:19.107Z",BnaHNzz9nVenVq/WjzBH8A==,"WT5",-0.1348,0.3525,0.9468,0.00,0.12,-0.12,20.62,7.88,-5.96
"2025-05-15T03:24:19.110Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0142,0.1616,1.0083,-0.43,1.53,-0.73,9.78,0.00,0.76
"2025-05-15T03:24:19.110Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0171,0.1616,1.0078,-0.31,2.01,-0.73,9.78,0.00,0.76
"2025-05-15T03:24:19.110Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0200,0.1616,1.0073,-0.67,2.32,-0.79,9.79,-0.01,0.77
"2025-05-15T03:24:19.110Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0225,0.1611,1.0068,-1.40,2.56,-0.85,9.79,-0.01,0.77
"2025-05-15T03:24:19.110Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0239,0.1602,1.0078,-1.95,2.81,-0.98,9.78,0.01,0.77
"2025-05-15T03:24:19.111Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0259,0.1572,1.0103,-2.01,3.11,-0.98,9.78,0.02,0.77
"2025-05-15T03:24:19.111Z",vKR8AxJsHn4hoHHBvj3AIA==,"WT4",-0.0288,0.1548,1.0142,-1.77,3.36,-0.98,9.77,0.03,0.77
