时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-15T03:33:04.256Z",2ePLTmQKzi2Pkva2p7H9YA==,"WT3",-0.2754,0.8462,-0.4385,1.71,-1.10,0.12,114.51,17.05,27.27
"2025-05-15T03:33:04.256Z",2ePLTmQKzi2Pkva2p7H9YA==,"WT3",-0.2749,0.8457,-0.4390,1.59,-1.28,0.18,114.51,17.05,27.27
"2025-05-15T03:33:04.256Z",2ePLTmQKzi2Pkva2p7H9YA==,"WT3",-0.2749,0.8457,-0.4395,1.34,-1.34,0.24,114.52,17.05,27.26
"2025-05-15T03:33:04.257Z",2ePLTmQKzi2Pkva2p7H9YA==,"WT3",-0.2749,0.8447,-0.4395,1.22,-1.28,0.37,114.52,17.05,27.24
"2025-05-15T03:33:04.257Z",2ePLTmQKzi2Pkva2p7H9YA==,"WT3",-0.2744,0.8438,-0.4399,1.40,-1.34,0.31,114.53,17.05,27.23
"2025-05-15T03:33:04.257Z",2ePLTmQKzi2Pkva2p7H9YA==,"WT3",-0.2744,0.8423,-0.4399,1.71,-1.53,0.18,114.54,17.05,27.22
"2025-05-15T03:33:04.257Z",2ePLTmQKzi2Pkva2p7H9YA==,"WT3",-0.2749,0.8408,-0.4404,1.89,-1.59,0.00,114.54,17.06,27.22
"2025-05-15T03:33:04.257Z",2ePLTmQKzi2Pkva2p7H9YA==,"WT3",-0.2754,0.8394,-0.4414,1.95,-1.71,-0.12,114.55,17.06,27.20
"2025-05-15T03:33:04.581Z",1hXgHOfAPwEa1MCXzcNICA==,"WT1",0.0415,0.9785,-0.1836,3.17,9.28,0.73,100.77,-2.99,34.30
"2025-05-15T03:33:04.581Z",1hXgHOfAPwEa1MCXzcNICA==,"WT1",0.0376,0.9771,-0.1836,3.11,9.09,0.73,100.79,-3.00,34.35
"2025-05-15T03:33:04.581Z",1hXgHOfAPwEa1MCXzcNICA==,"WT1",0.0337,0.9756,-0.1836,2.99,8.30,0.73,100.80,-3.02,34.42
"2025-05-15T03:33:04.582Z",1hXgHOfAPwEa1MCXzcNICA==,"WT1",0.0293,0.9736,-0.1831,2.81,7.14,0.79,100.81,-3.03,34.46
"2025-05-15T03:33:04.582Z",1hXgHOfAPwEa1MCXzcNICA==,"WT1",0.0259,0.9717,-0.1831,2.56,5.43,0.85,100.82,-3.04,34.49
"2025-05-15T03:33:04.582Z",1hXgHOfAPwEa1MCXzcNICA==,"WT1",0.0234,0.9707,-0.1821,2.32,3.30,0.85,100.83,-3.04,34.51
"2025-05-15T03:33:04.582Z",1hXgHOfAPwEa1MCXzcNICA==,"WT1",0.0225,0.9707,-0.1807,1.89,1.16,0.92,100.84,-3.05,34.55
"2025-05-15T03:33:04.582Z",1hXgHOfAPwEa1MCXzcNICA==,"WT1",0.0229,0.9712,-0.1792,1.40,-0.98,1.04,100.85,-3.06,34.55
"2025-05-15T03:33:04.634Z",C6OQNOZb8DRGA+QPWUIW5Q==,"WT4",-0.1914,0.9790,0.0884,1.34,-5.80,-0.61,85.29,9.80,53.20
"2025-05-15T03:33:04.634Z",C6OQNOZb8DRGA+QPWUIW5Q==,"WT4",-0.1826,0.9775,0.0864,1.77,-13.00,-1.28,85.29,9.80,53.14
"2025-05-15T03:33:04.634Z",C6OQNOZb8DRGA+QPWUIW5Q==,"WT4",-0.1694,0.9746,0.0874,2.50,-17.52,-1.53,85.29,9.80,53.05
"2025-05-15T03:33:04.634Z",C6OQNOZb8DRGA+QPWUIW5Q==,"WT4",-0.1558,0.9727,0.0908,3.11,-18.55,-1.28,85.29,9.80,52.96
"2025-05-15T03:33:04.634Z",C6OQNOZb8DRGA+QPWUIW5Q==,"WT4",-0.1421,0.9727,0.0972,3.11,-14.95,-0.55,85.29,9.79,52.85
"2025-05-15T03:33:04.634Z",C6OQNOZb8DRGA+QPWUIW5Q==,"WT4",-0.1353,0.9756,0.1030,2.62,-8.36,0.18,85.30,9.79,52.79
"2025-05-15T03:33:04.634Z",C6OQNOZb8DRGA+QPWUIW5Q==,"WT4",-0.1333,0.9790,0.1079,1.77,0.43,1.10,85.31,9.78,52.78
"2025-05-15T03:33:04.635Z",C6OQNOZb8DRGA+QPWUIW5Q==,"WT4",-0.1367,0.9829,0.1104,0.73,10.07,2.01,85.32,9.78,52.81
"2025-05-15T03:33:04.636Z",FN67tbuS30OlmDAUSjs/DA==,"WT5",0.4619,0.0645,0.8979,1.04,-2.38,8.91,5.93,-27.43,129.85
"2025-05-15T03:33:04.637Z",FN67tbuS30OlmDAUSjs/DA==,"WT5",0.4551,0.0688,0.8999,0.98,-2.20,8.12,5.92,-27.45,129.89
"2025-05-15T03:33:04.637Z",FN67tbuS30OlmDAUSjs/DA==,"WT5",0.4487,0.0742,0.9014,0.92,-2.32,6.90,5.90,-27.47,129.92
"2025-05-15T03:33:04.637Z",FN67tbuS30OlmDAUSjs/DA==,"WT5",0.4448,0.0776,0.9028,1.10,-2.32,6.59,5.89,-27.48,129.97
"2025-05-15T03:33:04.637Z",FN67tbuS30OlmDAUSjs/DA==,"WT5",0.4438,0.0815,0.9048,1.34,-2.14,7.39,5.88,-27.50,130.01
"2025-05-15T03:33:04.637Z",FN67tbuS30OlmDAUSjs/DA==,"WT5",0.4448,0.0874,0.9072,1.77,-1.89,8.85,5.87,-27.52,130.04
"2025-05-15T03:33:04.637Z",FN67tbuS30OlmDAUSjs/DA==,"WT5",0.4468,0.0947,0.9097,2.26,-1.83,10.13,5.85,-27.53,130.09
"2025-05-15T03:33:04.637Z",FN67tbuS30OlmDAUSjs/DA==,"WT5",0.4492,0.1040,0.9131,2.56,-1.95,10.62,5.84,-27.54,130.16
"2025-05-15T03:33:04.640Z",1hXgHOfAPwEa1MCXzcNICA==,"WT1",0.0244,0.9722,-0.1777,0.85,-3.11,1.10,100.86,-3.06,34.54
